corp,cfg,name,ip,status
川财证券,D:/new_cczq_v6\connect.cfg,HQHOST/川财证券_西信电信站点,182.140.139.191,EMPTY_MIRROR
川财证券,D:/new_cczq_v6\connect.cfg,HQHOST/川财证券_西信联通站点,119.6.200.40,TCP_FAIL
川财证券,D:/new_cczq_v6\connect.cfg,HQHOST/川财证券_中海移动站点,218.200.222.134,EMPTY_MIRROR
川财证券,D:/new_cczq_v6\connect.cfg,HQHOST/川财证券_中海电信站点,182.150.28.166,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站1,120.79.60.82,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站2,8.129.13.54,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站3,120.24.149.49,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站4,47.113.94.204,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站5,8.129.174.169,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站6,47.113.123.248,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站1,47.103.48.45,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站2,47.100.236.28,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站3,101.133.214.242,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站4,47.116.21.80,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站5,47.116.105.28,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站6,47.116.10.29,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/北京双线主站1,39.98.234.173,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/北京双线主站2,39.98.198.249,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/北京双线主站3,39.100.68.59,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/广州双线主站1,124.71.85.110,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/广州双线主站2,139.9.51.18,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/广州双线主站3,139.159.239.163,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站7,106.14.201.131,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站8,106.14.190.242,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站9,121.36.225.169,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站10,123.60.70.228,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站11,123.60.73.44,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站12,124.70.133.119,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站13,124.71.187.72,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站14,124.71.187.122,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/武汉电信主站1,119.97.185.59,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/深圳双线主站7,47.107.64.168,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/北京双线主站4,8.142.137.74,TCP_FAIL
通达信网站,D:/new_tdx\connect.cfg,HQHOST/广州双线主站4,124.71.9.153,EMPTY_MIRROR
通达信网站,D:/new_tdx\connect.cfg,HQHOST/上海双线主站15,123.60.84.66,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站1,110.41.147.114,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站2,110.41.2.72,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站3,101.33.225.16,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站4,175.178.112.197,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站5,175.178.128.227,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信深圳双线主站6,43.139.95.83,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信上海双线主站1,124.223.163.242,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信上海双线主站2,122.51.120.217,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信上海双线主站3,150.158.160.2,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信上海双线主站4,123.60.164.122,EMPTY_MIRROR
通达信网站,D:/new_tdx_mock\connect.cfg,HQHOST/通达信上海双线主站5,111.229.247.189,EMPTY_MIRROR
